ticker,name,market,industry_code,industry_name
280360,롯데웰푸드,KOSPI,108,동물용 사료 및 조제식품 제조업
286940,롯데이노베이트,KOSPI,62021,컴퓨터시스템 통합 자문 및 구축 서비스업
004000,롯데정밀화학,KOSPI,20119,석탄화학계 화합물 및 기타 기초 유기 화학물질 제조업
004990,롯데지주,KOSPI,64992,지주회사
005300,롯데칠성,KOSPI,11209,기타 비알코올 음료 제조업
011170,롯데케미칼,KOSPI,20111,석유화학계 기초 화학물질 제조업
071840,롯데하이마트,KOSPI,47320,가전제품 소매업
027740,마니커,KOSPI,1012,육류 가공 및 저장 처리업
357430,마스턴프리미어리츠,KOSPI,681,부동산 임대 및 공급업
001080,만호제강,KOSPI,24123,철강선 제조업
088980,맥쿼리인프라,KOSPI,64201,신탁업 및 집합투자업
094800,맵스리얼티,KOSPI,642,신탁업 및 집합투자업
138040,메리츠금융지주,KOSPI,64992,지주회사
090370,메타랩스,KOSPI,141,봉제의복 제조업
118000,메타케어,KOSPI,4659,기타 기계 및 장비 도매업
017180,명문제약,KOSPI,212,의약품 제조업
009900,명신산업,KOSPI,303,자동차 신품 부품 제조업
317450,명인제약,KOSPI,21212,
012690,모나리자,KOSPI,17902,위생용 종이제품 제조업
005360,모나미,KOSPI,46452,"문구용품, 회화용품, 사무용품 도매업"
070960,모나용평,KOSPI,55103,휴양콘도 운영업
009680,모토닉,KOSPI,303,자동차 신품 부품 제조업
009580,무림P&P,KOSPI,171,"펄프, 종이 및 판지 제조업"
009200,무림페이퍼,KOSPI,171,"펄프, 종이 및 판지 제조업"
033920,무학,KOSPI,11122,소주 제조업
008420,문배철강,KOSPI,2419,기타 1차 철강 제조업
025560,미래산업,KOSPI,27219,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
007120,미래아이앤지,KOSPI,620,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
396690,미래에셋글로벌리츠,KOSPI,6811,부동산 임대업
357250,미래에셋맵스리츠,KOSPI,681,부동산 임대 및 공급업
085620,미래에셋생명,KOSPI,65110,생명 보험업
006800,미래에셋증권,KOSPI,66121,증권 중개업
081660,미스토홀딩스,KOSPI,464,생활용품 도매업
002840,미원상사,KOSPI,204,기타 화학제품 제조업
268280,미원에스씨,KOSPI,201,기초 화학물질 제조업
107590,미원홀딩스,KOSPI,649,기타 금융업
134380,미원화학,KOSPI,20421,계면활성제 제조업
003650,미창석유,KOSPI,19221,윤활유 및 그리스 제조업
377740,바이오노트,KOSPI,213,의료용품 및 기타 의약 관련제품 제조업
003610,방림,KOSPI,132,직물직조 및 직물제품 제조업
035150,백산,KOSPI,22214,플라스틱 합성피혁 제조업
002410,범양건영,KOSPI,411,건물 건설업
007210,벽산,KOSPI,23999,그 외 기타 분류 안된 비금속 광물제품 제조업
002760,보락,KOSPI,2049,그 외 기타 화학제품 제조업
003850,보령,KOSPI,212,의약품 제조업
000890,보해양조,KOSPI,11122,소주 제조업
003000,부광약품,KOSPI,212,의약품 제조업
001270,부국증권,KOSPI,66121,증권 중개업
026940,부국철강,KOSPI,2413,철강관 제조업
011390,부산산업,KOSPI,233,"시멘트, 석회, 플라스터 및 그 제품 제조업"
005030,부산주공,KOSPI,30310,자동차 엔진용 신품 부품 제조업
006740,블루산업개발,KOSPI,172,"골판지, 종이 상자 및 종이 용기 제조업"
002070,비비안,KOSPI,14120,속옷 및 잠옷 제조업
100220,비상교육,KOSPI,5811,서적 출판업
090460,비에이치,KOSPI,2622,인쇄회로기판 및 전자부품 실장기판 제조업
005180,빙그레,KOSPI,104,동물성 및 식물성 유지 제조업
003960,사조대림,KOSPI,10211,"수산동물 훈제, 조리 및 유사 조제식품 제조업"
008040,사조동아원,KOSPI,105,낙농제품 및 식용빙과류 제조업
007160,사조산업,KOSPI,102,수산물 가공 및 저장 처리업
014710,사조씨푸드,KOSPI,102,수산물 가공 및 저장 처리업
006090,사조오양,KOSPI,102,수산물 가공 및 저장 처리업
062040,산일전기,KOSPI,28112,변압기 제조업
001470,삼부토건,KOSPI,41221,도로 건설업
028050,삼성E&A,KOSPI,72129,기타 엔지니어링 서비스업
448730,삼성FN리츠,KOSPI,6811,부동산 임대업
006400,삼성SDI,KOSPI,28202,축전지 제조업
006660,삼성공조,KOSPI,30399,그 외 자동차용 신품 부품 제조업
028260,삼성물산,KOSPI,467,기타 전문 도매업
207940,삼성바이오로직스,KOSPI,211,기초 의약물질 및 생물학적 제제 제조업
032830,삼성생명,KOSPI,65110,생명 보험업
018260,삼성에스디에스,KOSPI,62021,컴퓨터시스템 통합 자문 및 구축 서비스업
009150,삼성전기,KOSPI,2622,인쇄회로기판 및 전자부품 실장기판 제조업
005930,삼성전자,KOSPI,264,통신 및 방송 장비 제조업
001360,삼성제약,KOSPI,212,의약품 제조업
010140,삼성중공업,KOSPI,3111,선박 및 수상 부유 구조물 건조업
016360,삼성증권,KOSPI,66121,증권 중개업
068290,삼성출판사,KOSPI,5811,서적 출판업
029780,삼성카드,KOSPI,64913,신용카드 및 할부금융업
000810,삼성화재,KOSPI,65121,손해 보험업
006110,삼아알미늄,KOSPI,24222,"알루미늄 압연, 압출 및 연신제품 제조업"
145990,삼양사,KOSPI,108,동물용 사료 및 조제식품 제조업
003230,삼양식품,KOSPI,108,동물용 사료 및 조제식품 제조업
002170,삼양통상,KOSPI,15110,모피 및 가죽 제조업
272550,삼양패키징,KOSPI,22232,포장용 플라스틱 성형용기 제조업
000070,삼양홀딩스,KOSPI,64992,지주회사
003720,삼영,KOSPI,2221,1차 플라스틱제품 제조업
002810,삼영무역,KOSPI,46739,기타 화학물질 및 화학제품 도매업
005680,삼영전자,KOSPI,26291,전자축전기 제조업
023000,삼원강재,KOSPI,303,자동차 신품 부품 제조업
004380,삼익THK,KOSPI,29141,구름베어링 제조업
002450,삼익악기,KOSPI,33201,건반 악기 제조업
004440,삼일씨엔에스,KOSPI,23325,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업
000520,삼일제약,KOSPI,212,의약품 제조업
009770,삼정펄프,KOSPI,171,"펄프, 종이 및 판지 제조업"
005500,삼진제약,KOSPI,212,의약품 제조업
004690,삼천리,KOSPI,35200,연료용 가스 제조 및 배관공급업
010960,삼호개발,KOSPI,421,기반조성 및 시설물 축조관련 전문공사업
004450,삼화왕관,KOSPI,25991,금속 캔 및 기타 포장용기 제조업
009470,삼화전기,KOSPI,26291,전자축전기 제조업
011230,삼화전자,KOSPI,265,영상 및 음향기기 제조업
001820,삼화콘덴서,KOSPI,26291,전자축전기 제조업
000390,삼화페인트,KOSPI,20411,일반용 도료 및 관련제품 제조업
001290,상상인증권,KOSPI,66121,증권 중개업
041650,상신브레이크,KOSPI,303,자동차 신품 부품 제조업
075180,새론오토모티브,KOSPI,303,자동차 신품 부품 제조업
007540,샘표,KOSPI,64992,지주회사
248170,샘표식품,KOSPI,108,동물용 사료 및 조제식품 제조업
007860,서연,KOSPI,64992,지주회사
200880,서연이화,KOSPI,303,자동차 신품 부품 제조업
017390,서울가스,KOSPI,35200,연료용 가스 제조 및 배관공급업
031210,서울보증보험,KOSPI,65122,보증 보험업
004410,서울식품,KOSPI,108,동물용 사료 및 조제식품 제조업
021050,서원,KOSPI,243,금속 주조업
008490,서흥,KOSPI,2049,그 외 기타 화학제품 제조업
007610,선도전기,KOSPI,28123,배전반 및 전기 자동제어반 제조업
136490,선진,KOSPI,109,
014910,성문전자,KOSPI,26291,전자축전기 제조업
004980,성신양회,KOSPI,23311,시멘트 제조업
